,video_id,channel_id,rank,component,watch_video_id,bot_name,phase,homepage_level,videopage_level,phase_level,topic,strategy,note,exp_stage,on_topic
57703,43g9HMk4TE8,UCN0-RRaxMgh86eOwndAklxw,1,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,True
57704,J58gQXjXIEc,UCHC60upCUfq7EAfw6oDQRDA,2,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,True
57705,8qQarn8ocvk,UCnHj3j0h9Hx8JpDd9gu4Thg,3,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,False
57706,dsz3-5GdcT0,UCnxGkOGNMqQEUMvroOWps6Q,4,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,False
57707,DWWK05t98os,UCq6VFHwMzcMXbuKyG7SQYIg,5,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,False
57708,E8CAAepdUSA,UC_ynzI9eLoSV2wXXoURzSeQ,6,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,False
57709,GwLhaQCAk4U,UCGpsPLQNPisvIluBCL5NRuA,7,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,False
57710,BijOF8I2t_4,UCFQMnBA3CS502aghlcr0_aw,8,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,False
57711,hg7qdowoemo,UCn2YSCVS4EW8ltOu1SRwcrQ,9,homepage,,alt-right_none_1,stain,39,40,39,alt-right,none,1,2,False
58521,KUed-JQTkn4,UCZtDKD0pFpPclXA7ZAti90w,0,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,True
58522,43g9HMk4TE8,UCN0-RRaxMgh86eOwndAklxw,1,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,True
58523,X_albKfraUQ,UCq6VFHwMzcMXbuKyG7SQYIg,2,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,False
58524,mikuECXsctY,UCTGdOxJ-uEPHerekLHfHVvg,3,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,False
58525,YebZyAzLZuc,UCzQUP1qoWDoEbmsQxvdjxgQ,4,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,False
58526,3U4amyIOdBo,UCswH8ovgUp5Bdg-0_JTYFNw,5,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,False
58527,E8CAAepdUSA,UC_ynzI9eLoSV2wXXoURzSeQ,6,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,False
58528,GwLhaQCAk4U,UCGpsPLQNPisvIluBCL5NRuA,7,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,False
58529,2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,8,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,False
58530,fXS_gkWAIs0,UChPuCAEXg7iYkVNjQY1NGYg,9,homepage,,alt-right_none_1,scrub,79,42,39,alt-right,none,1,3,False
58618,RCgp3Mwfa1Y,UCur6nu-T7FilkEztCm_S8yA,0,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,True
58619,2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,1,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
58620,DsFuF0UVzSA,UCSWwb_YyNB8vuC1VDcfPPaQ,2,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
58621,i16Klk2A-ZU,UCzYGlXciaD597XXSW5rFFhg,3,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
58622,3zlvqFcinr8,UCXHcH4CggCrvIpm0KM0kHQg,4,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
58623,QRpV9K11K3M,UCvR7QkSlCxuzAITcs99-G6Q,5,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
58624,e0MJTfdADcA,UClw8Huc_XZcz46GJh5Z0wuA,6,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
58625,0rliFQ0qyAM,UCJLZe_NoiG0hT7QCX_9vmqw,7,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
58626,rH41HRrZNyg,UC13mSI38YWz5zfvxXDPpePA,8,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
58627,jfKfPfyJRdk,UCSJ4gkVC6NrvII8umztf0Ow,9,homepage,,alt-right_none_2,stain,1,2,1,alt-right,none,2,1,False
60035,r9767lrOJKs,UC3QAlv3wdYEhyveXPQPi-BA,0,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60036,HfwPL-bd_mk,UC4USoIAL9qcsx5nCZV_QRnA,1,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60037,3U4amyIOdBo,UCswH8ovgUp5Bdg-0_JTYFNw,2,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60038,165o8OoTSPE,UCgyLr40aVhjktaDSvAVGpAg,3,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60039,RLFX9Q8Icyg,UC0IqOHcZ4sJKD_J6gjKsUKQ,4,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60040,zmj_bWcJhkI,UCN0-RRaxMgh86eOwndAklxw,5,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,True
60041,Cv0N8g68t2w,UC3kMrgEHl6Stw8TE2PSQtrw,6,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60042,3zlvqFcinr8,UCXHcH4CggCrvIpm0KM0kHQg,7,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60043,VzLB1bQ7z1k,UC8yXAORaEiu-vnEOT8YLlxA,8,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60044,VQJWYplY6ws,UCLwNTXWEjVd2qIHLcXxQWxA,9,homepage,,alt-right_none_2,stain,39,40,39,alt-right,none,2,2,False
60855,RLFX9Q8Icyg,UC0IqOHcZ4sJKD_J6gjKsUKQ,0,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60856,t9xrmJ3UX9w,UCzQUP1qoWDoEbmsQxvdjxgQ,1,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60857,zmj_bWcJhkI,UCN0-RRaxMgh86eOwndAklxw,2,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,True
60858,165o8OoTSPE,UCgyLr40aVhjktaDSvAVGpAg,3,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60859,jnX0VhhGMrg,UCO0akufu9MOzyz3nvGIXAAw,4,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60860,3U4amyIOdBo,UCswH8ovgUp5Bdg-0_JTYFNw,5,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60861,r9767lrOJKs,UC3QAlv3wdYEhyveXPQPi-BA,6,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60862,3zlvqFcinr8,UCXHcH4CggCrvIpm0KM0kHQg,7,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60863,pgyt7ok7Ojg,UCJ5v_MCY6GNUBTO8-D3XoAg,8,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60864,uajxc3WFsfo,UCYFtLyNx04nZbzY0dlY7ofw,9,homepage,,alt-right_none_2,scrub,79,42,39,alt-right,none,2,3,False
60954,CE4VIMWUQws,UCPDis9pjXuqyI7RYLJ-TTSA,0,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60955,eeNjYd72JLY,UCJW3ePyqjsvKfHGsz7eetQA,1,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60956,HxCcKzRAGWk,UCGr-rTYtP1m-r_-ncspdVQQ,2,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60957,xAroHaXRZOU,UCC0XEDBRtOO2GPC_DP4hR3w,3,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60958,12KvcCrvmfI,UCjVhFTLlmHBEocHi3miaMvA,4,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60959,RbJg7YLqJk8,UCvbKGLFg-bgjWvAglehxOFw,5,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60960,PuJQhtg1VCM,UCD741Gk4lh8M0Agf5FUpJfg,6,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60961,iIoR3FGH7hw,UC3TL2lUPabRGPbg4HqcuEyQ,7,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60962,eDa1U9qJKxo,UCcf1t1tH-Pp5bmu4hbAytwA,8,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
60963,SzuZnh91U8E,UCmyjVwYZbp5YPYTUyeopO2g,9,homepage,,alt-right_none_3,stain,1,2,1,alt-right,none,3,1,False
62459,sfTsHtk9RDM,UCN0-RRaxMgh86eOwndAklxw,0,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,True
62460,mxRgy38azko,UCneb0Oaja_ArV6ZJV5kp70w,1,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,False
62461,yNUK2crjmlY,UCHC60upCUfq7EAfw6oDQRDA,2,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,True
62462,chBJNd40V3M,UCHX9L8vohBR2TsTRWo9N6bA,3,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,False
62463,Hwy8SzVmWGc,UCFn1ROV1cysLXMkS53Aw6PQ,4,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,False
62464,w7PPCquHH28,UCKuGfUkFKsT-KIjtLTOiBWw,5,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,False
62465,2GfIFKigo90,UCvy9bjqfawiaE_CklFSdnzg,6,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,False
62466,nZxB0vyr1bs,UCMAGs_CGMHF-dDXdjCI8TcA,7,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,False
62467,9fdS8ECbx4A,UCN0-RRaxMgh86eOwndAklxw,8,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,True
62468,1DTzs0TU7Hs,UCqDUr9iGlRNI9fxsVOIZ2Zw,9,homepage,,alt-right_none_3,stain,39,40,39,alt-right,none,3,2,False
63284,hXdHMHtZ_1M,UCN0-RRaxMgh86eOwndAklxw,0,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,True
63285,mxRgy38azko,UCneb0Oaja_ArV6ZJV5kp70w,1,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,False
63286,yNUK2crjmlY,UCHC60upCUfq7EAfw6oDQRDA,2,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,True
63287,acyPjBufLGo,UCkY8CvV8WQFe87CZGmvuYHA,3,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,True
63288,wsnhV-zwjZA,UCO0akufu9MOzyz3nvGIXAAw,4,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,False
63289,IFYYsYVxZto,UCeUMNYWwulM_IZwQGGaY2VA,5,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,False
63290,4fezP875xOQ,UCyOfqgtsQaM3S-VZnsYnHjQ,6,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,False
63291,POg0UhVKOXM,UCy-VnRxdzpcQSnR8nPo4wWw,7,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,False
63292,0L6wQZqBVwg,UCHC60upCUfq7EAfw6oDQRDA,8,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,True
63293,9fdS8ECbx4A,UCN0-RRaxMgh86eOwndAklxw,9,homepage,,alt-right_none_3,scrub,79,42,39,alt-right,none,3,3,True
63387,ndAlzoq0FfI,UCW5BaXolL-jh1wAmZC78leQ,0,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63388,lmZZwdid1-c,UC9Weax-77IL7dy5x6Jq4l9A,1,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63389,HxCcKzRAGWk,UCGr-rTYtP1m-r_-ncspdVQQ,2,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63390,2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,3,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63391,XhWB1W_DTH8,UCHMWHaYB7QdaTdwO09OFkUQ,4,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63392,36m1o-tM05g,UCsT0YIqwnpJCM-mx7-gSA4Q,5,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63393,rwh0O4UqOc4,UCSWwb_YyNB8vuC1VDcfPPaQ,6,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63394,-F7Ncj2btSg,UCRs1pHnES3QDdh43xbjOmzw,7,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63395,lBbdmzqZMUg,UCC9EjyMN_hx5NdctLBx5X7w,8,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
63396,0rliFQ0qyAM,UCJLZe_NoiG0hT7QCX_9vmqw,9,homepage,,alt-right_none_4,stain,1,2,1,alt-right,none,4,1,False
64927,K6O0P-ajiaA,UC8XElpsf3j_hgceQA7IDJ8Q,0,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,False
64928,VlqmjN38PVw,UC7edjYPNhTm5LYJMT7UMt0Q,1,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,False
64929,2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,2,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,False
64930,NP7YtqspL58,UCN0-RRaxMgh86eOwndAklxw,3,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,True
64931,F29SrufZyF4,UCHC60upCUfq7EAfw6oDQRDA,4,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,True
64932,rXxOgRhrQHc,UCCl4wm5rLmsNsI1U7UyTU8A,5,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,False
64933,Px1nMI3mmjg,UCz8K1occVvDTYDfFo7N5EZw,6,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,False
64934,DWWK05t98os,UCq6VFHwMzcMXbuKyG7SQYIg,7,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,False
64935,fmOP68S5v7c,UCHL9bfHTxCMi-7vfxQ-AYtg,8,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,False
64936,ypai8L25rlw,UCNKJhostw6KyfQUd2trZ3Sw,9,homepage,,alt-right_none_4,stain,39,39,39,alt-right,none,4,2,False
65845,K6O0P-ajiaA,UC8XElpsf3j_hgceQA7IDJ8Q,0,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,False
65846,VlqmjN38PVw,UC7edjYPNhTm5LYJMT7UMt0Q,1,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,False
65847,fmOP68S5v7c,UCHL9bfHTxCMi-7vfxQ-AYtg,2,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,False
65848,q_hInzyYN3o,UCd1yjHMjahhWKUnl2qRyo0A,3,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,False
65849,UV9Pv8BwBM4,UCHC60upCUfq7EAfw6oDQRDA,4,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,True
65850,jepoFilRi4Y,UClA-jNuyJKqN-xCm7KPG_XA,5,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,False
65851,VQJWYplY6ws,UCLwNTXWEjVd2qIHLcXxQWxA,6,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,False
65852,gibh_sI7Pp4,UCN0-RRaxMgh86eOwndAklxw,7,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,True
65853,Q3JKX-fTMcg&list=RDCMUCur6nu-T7FilkEztCm_S8yA&start_radio=1,,8,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,
65854,-dq35MjRaOI,UC_O9W9I7friSM2VRZO1ofQQ,9,homepage,,alt-right_none_4,scrub,79,41,39,alt-right,none,4,3,False
65951,NzIUw4moy2o,UCq6kXwVFun_T74iatS4X22w,0,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65952,2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,1,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65953,SzuZnh91U8E,UCmyjVwYZbp5YPYTUyeopO2g,2,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65954,avlOGya53IU,UClw8Huc_XZcz46GJh5Z0wuA,3,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65955,a_ovwXZcgZY,UCzcRQ3vRNr6fJ1A9rqFn7QA,4,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65956,sLTvQnjEkRU,UCAaZm4GcWqDg8358LIx3kmw,5,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65957,Ps19m3HHArM,UCub-70MkFDptcnh3BSGVPpQ,6,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65958,Ynvoriv09Ks,UCajKgpxKwbuhR2PkI7e-WUA,7,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65959,N4oypLjLnik,UCqZQlzSHbVJrwrn5XvzrzcA,8,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
65960,Xksk04FKEWU,UCINb0wqPz-A0dV9nARjJlOQ,9,homepage,,alt-right_not-interested_0,stain,1,2,1,alt-right,not-interested,0,1,False
67552,o7TzbCa7KpY,UC2cGFgeCTc1MxNEzPNcxvaA,0,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,False
67553,J58gQXjXIEc,UCHC60upCUfq7EAfw6oDQRDA,1,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,True
67554,U-pbhiOZsns,UCN0-RRaxMgh86eOwndAklxw,2,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,True
67555,9D2DLzTk5xs,UCJMC-44oT9l97ra5iemDPiA,3,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,False
67556,udWo30qLMhI,UCkH00DEvivJzUfQk2KVsA4A,4,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,False
67557,MnIacu4E4L0,UCqrRTzfOja0j8-GWWkYKMeQ,5,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,False
67558,G6j8yIOzeiA,UC-yewGHQbNFpDrGM0diZOLA,6,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,True
67559,OeMDtx7mBLc,UC6o-wWU-v2ClFMwougmK7dA,7,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,False
67560,FprTqQaJiTI,UCz8K1occVvDTYDfFo7N5EZw,8,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,False
67561,ODaCrCttS1U,UCZAENaOaceQUMd84GDc26EA,9,homepage,,alt-right_not-interested_0,stain,39,40,39,alt-right,not-interested,0,2,True
68493,EqR5RtoM3H8,UCSIlpkjt79VuCG-IWrU4qLQ,0,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68494,HB0CZ_5sPPw,UCHJuQZuzapBh-CuhRYxIZrg,1,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68495,mReAzk1hOa0,UC8MX9ECowgDMTOnFTE8EUJw,2,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68496,zIxxtV6Fw4I,UCIugi05X4JKUQz3WPD-YKog,3,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68497,-Fvn9C6b6WE,UCINb0wqPz-A0dV9nARjJlOQ,4,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68498,8Xrz4laDdlc,UC12E3RFoZzw873OfYoXi55A,5,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68499,aro2vgpcpis,UCxDZs_ltFFvn0FDHT6kmoXA,6,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68500,sc0A0s-tnRs,UCZLIt722xmGPXAqTafNnM3w,7,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68501,udWo30qLMhI,UCkH00DEvivJzUfQk2KVsA4A,8,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68502,qx2IIz_MHrw,UCJ5v_MCY6GNUBTO8-D3XoAg,9,homepage,,alt-right_not-interested_0,scrub,79,42,39,alt-right,not-interested,0,3,False
68596,g0cjGIdJ7fY,UCXGecfdP4LZs8BMSytOJJqA,0,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68597,q9DfUvLg7ao,UCHD8kje7Izx5IYO2WWpoUYA,1,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68598,E5W_uXB8fGs,UCl37WycfTA2sk1Jf-H6oa2A,2,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68599,GwLhaQCAk4U,UCGpsPLQNPisvIluBCL5NRuA,3,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68600,TV2RHsEru44,UCeR0n8d3ShTn_yrMhpwyE1Q,4,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68601,v8JLoub3foU,UCCNzrPbGCa252PGRsRwnmOA,5,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68602,Cv0N8g68t2w,UC3kMrgEHl6Stw8TE2PSQtrw,6,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68603,sM1XYWi5c6E,UC02n2oDfBu33xEEmJX1pBdQ,7,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68604,x4ygVwbOyJU,UC3Hc3eyqALYSX0WKfqbO13Q,8,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
68605,V_vtYdABwA0,UCI15ZKi4kyBnueoUIvgCvoA,9,homepage,,alt-right_not-interested_1,stain,1,2,1,alt-right,not-interested,1,1,False
70160,ottVpZI2PWo,UCft2_ARzEqPmQZSt88XsP2w,0,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,False
70161,U-pbhiOZsns,UCN0-RRaxMgh86eOwndAklxw,1,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,True
70162,tOHUwwP6LLs,UCvy9bjqfawiaE_CklFSdnzg,2,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,False
70163,-4wT8dc1dc4,UC6CLkxOWW-TxdGM9yVTyDfQ,3,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,False
70164,J58gQXjXIEc,UCHC60upCUfq7EAfw6oDQRDA,4,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,True
70165,CNYze7aUgnc,UC8iuMvIDSrA5DwV-uHp5l_A,5,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,False
70166,5AhQB6jcsPA,UCGdWbUrKEj33BTLGLJYIwqg,6,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,False
70167,eP3IL45SQuU,UCGo7_vRRwqzBK5mteHEpd4A,7,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,False
70168,DWWK05t98os,UCq6VFHwMzcMXbuKyG7SQYIg,8,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,False
70169,D6PC6BPd20Y,UCOmmoABCKXavySjCwYlbZCA,9,homepage,,alt-right_not-interested_1,stain,39,40,39,alt-right,not-interested,1,2,False
71075,YI9pujyykV4,UCYTTC8FyL-32YYQIGIjZt2Q,0,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71076,B4UClSWEU4M,UCOQaX_La_bqLsjCohB7NHeA,1,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71077,UbDFMzs2maY,UCzQUP1qoWDoEbmsQxvdjxgQ,2,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71078,1a8A79Tlyi4,UCJyYPIYM-2iuvc6MKasAEQQ,3,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71079,BzIHyF7UWY4,UCOpCXbrCHs8oqBEHteuFftw,4,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71080,eS2MCjKnAsk,UC7vUM39odw3OEqeCYnJ6Weg,5,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71081,OAiO5_5_oPM,UCdC0An4ZPNr_YiFiYoVbwaw,6,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71082,bDyG72UhNSo,UC9MAhZQQd9egwWCxrwSIsJQ,7,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71083,Hwy8SzVmWGc,UCFn1ROV1cysLXMkS53Aw6PQ,8,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71084,WanvSbJHbWI,UC9k-yiEpRHMNVOnOi_aQK8w,9,homepage,,alt-right_not-interested_1,scrub,79,42,39,alt-right,not-interested,1,3,False
71175,GQKHAdw6myU,UCxXyJLkuVnAclIrCpuxLC6g,0,homepage,,alt-right_not-interested_2,stain,1,2,1,alt-right,not-interested,2,1,False
71176,fXS_gkWAIs0,UChPuCAEXg7iYkVNjQY1NGYg,1,homepage,,alt-right_not-interested_2,stain,1,2,1,alt-right,not-interested,2,1,False
71177,eNf-9sq_Tt8,UC7wVlsDtCCSg5_3u0aj2laQ,2,homepage,,alt-right_not-interested_2,stain,1,2,1,alt-right,not-interested,2,1,False
71178,Sa9ny3-yGzM,UClKF27Ude7H3SPvSdsC9ktg,3,homepage,,alt-right_not-interested_2,stain,1,2,1,alt-right,not-interested,2,1,False
71179,Cv0N8g68t2w,UC3kMrgEHl6Stw8TE2PSQtrw,4,homepage,,alt-right_not-interested_2,stain,1,2,1,alt-right,not-interested,2,1,False
71180,oBLm0uxE62k,UC0fWyGqW2XovKQ8rfZjpBZg,5,homepage,,alt-right_not-interested_2,stain,1,2,1,alt-right,not-interested,2,1,False
71181,um40nauAuvg,UCu4XcDBdnZkV6-5z2f16M0g,6,homepage,,alt-right_not-interested_2,stain,1,2,1,alt-right,not-interested,2,1,False
